check,check_label,project,subject,detail
C05,scorer short-trailing-word overlap gate,v6,v6@130.38,ungated walk picks 'On' (9% pause overlap); gated walk correctly picks 'nights' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@148.44,ungated walk picks 'The' (31% pause overlap); gated walk correctly picks 'hunters' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@155.64,ungated walk picks 'two' (41% pause overlap); gated walk correctly picks 'of' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@161.62,ungated walk picks 'dark' (29% pause overlap); gated walk correctly picks 'They' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@167.08,ungated walk picks 'spear' (19% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@171.32,ungated walk picks 'carrying' (26% pause overlap); gated walk correctly picks 'it' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@179.44,ungated walk picks 'its' (35% pause overlap); gated walk correctly picks 'Nobody' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@182.88,ungated walk picks 'the' (37% pause overlap); gated walk correctly picks 'rear' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@187.10,ungated walk picks 'Not' (43% pause overlap); gated walk correctly picks 'hard' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@188.98,ungated walk picks 'not' (47% pause overlap); gated walk correctly picks 'gentle' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@191.36,ungated walk picks 'it' (28% pause overlap); gated walk correctly picks 'until' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@199.46,ungated walk picks 'word' (24% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@204.18,ungated walk picks 'You' (16% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@206.40,ungated walk picks 'are' (22% pause overlap); gated walk correctly picks 'expected' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@220.30,ungated walk picks 'Wind' (17% pause overlap); gated walk correctly picks 'through' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@236.26,ungated walk picks 'no' (23% pause overlap); gated walk correctly picks 'sound' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@237.12,ungated walk picks 'The' (37% pause overlap); gated walk correctly picks 'moves' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@256.36,ungated walk picks 'Not' (33% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@268.38,ungated walk picks 'They' (26% pause overlap); gated walk correctly picks 'start' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@283.28,ungated walk picks 'heard' (36% pause overlap); gated walk correctly picks 'Your' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@287.02,ungated walk picks 'onto' (15% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@316.02,ungated walk picks 'reverse' (38% pause overlap); gated walk correctly picks 'Slow' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@339.58,ungated walk picks 'Not' (34% pause overlap); gated walk correctly picks 'to' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@342.86,ungated walk picks 'anything' (15% pause overlap); gated walk correctly picks 'See' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@352.90,ungated walk picks 'What' (32% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@357.34,ungated walk picks 'You' (13% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@361.90,ungated walk picks 'but' (34% pause overlap); gated walk correctly picks 'your' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@366.48,ungated walk picks 'You' (21% pause overlap); gated walk correctly picks 'see' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@371.94,ungated walk picks 'four' (28% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@388.86,ungated walk picks 'The' (16% pause overlap); gated walk correctly picks 'fire' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@393.60,ungated walk picks 'face' (34% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@401.50,ungated walk picks 'three' (27% pause overlap); gated walk correctly picks 'hours' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@407.52,ungated walk picks 'On' (24% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@412.28,ungated walk picks 'the' (41% pause overlap); gated walk correctly picks 'valley' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@420.36,ungated walk picks 'The' (22% pause overlap); gated walk correctly picks 'night' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@428.74,ungated walk picks 'Small' (47% pause overlap); gated walk correctly picks 'animals' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@430.36,ungated walk picks 'The' (6% pause overlap); gated walk correctly picks 'fire' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@436.90,ungated walk picks 'You' (19% pause overlap); gated walk correctly picks 'spend' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@444.44,ungated walk picks 'You' (14% pause overlap); gated walk correctly picks 'not' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@459.18,ungated walk picks 'them' (21% pause overlap); gated walk correctly picks 'These' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@465.50,ungated walk picks 'season' (11% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@479.10,ungated walk picks 'the' (42% pause overlap); gated walk correctly picks 'specific' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@507.68,ungated walk picks 'and' (38% pause overlap); gated walk correctly picks 'you' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@527.46,ungated walk picks 'Fear' (40% pause overlap); gated walk correctly picks 'no' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@535.28,ungated walk picks 'The' (30% pause overlap); gated walk correctly picks 'night' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@547.02,ungated walk picks 'through' (37% pause overlap); gated walk correctly picks 'Two' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@552.88,ungated walk picks 'is' (43% pause overlap); gated walk correctly picks 'yar' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@558.48,ungated walk picks 'The' (31% pause overlap); gated walk correctly picks 'light' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@568.50,ungated walk picks 'stop' (22% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@579.94,ungated walk picks 'You' (30% pause overlap); gated walk correctly picks 'cannot' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@583.24,ungated walk picks 'move' (24% pause overlap); gated walk correctly picks 'Yar' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@585.22,ungated walk picks 'The' (21% pause overlap); gated walk correctly picks 'breathing' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@595.26,ungated walk picks 'You' (16% pause overlap); gated walk correctly picks 'walk' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@608.46,ungated walk picks 'You' (32% pause overlap); gated walk correctly picks 'return' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@610.94,ungated walk picks 'The' (8% pause overlap); gated walk correctly picks 'hunt' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@613.84,ungated walk picks 'back' (21% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@618.90,ungated walk picks 'That' (32% pause overlap); gated walk correctly picks 'night' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@623.22,ungated walk picks 'stopped' (49% pause overlap); gated walk correctly picks 'Something' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@629.58,ungated walk picks 'You' (4% pause overlap); gated walk correctly picks 'know' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@637.80,ungated walk picks 'you' (10% pause overlap); gated walk correctly picks 'taught' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@643.90,ungated walk picks 'but' (48% pause overlap); gated walk correctly picks 'rearr' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@645.54,ungated walk picks 'You' (35% pause overlap); gated walk correctly picks 'understand' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@658.84,ungated walk picks 'entirely' (43% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@670.86,ungated walk picks 'of' (30% pause overlap); gated walk correctly picks 'them' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@682.42,ungated walk picks 'they' (3% pause overlap); gated walk correctly picks 'slow' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@683.74,ungated walk picks 'you' (23% pause overlap); gated walk correctly picks 'stop' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@685.98,ungated walk picks 'you' (25% pause overlap); gated walk correctly picks 'speak' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@692.26,ungated walk picks 'You' (29% pause overlap); gated walk correctly picks 'did' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@696.56,ungated walk picks 'started' (38% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@706.54,ungated walk picks 'theirs' (33% pause overlap); gated walk correctly picks 'Your' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@727.28,ungated walk picks 'less' (16% pause overlap); gated walk correctly picks 'Slow' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@737.72,ungated walk picks 'have' (44% pause overlap); gated walk correctly picks 'On' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@739.66,ungated walk picks 'slows' (46% pause overlap); gated walk correctly picks 'Not' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@746.76,ungated walk picks 'torch' (24% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@759.30,ungated walk picks 'They' (41% pause overlap); gated walk correctly picks 'were' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@765.26,ungated walk picks 'You' (45% pause overlap); gated walk correctly picks 'try' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@768.40,ungated walk picks 'You' (19% pause overlap); gated walk correctly picks 'do' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@770.18,ungated walk picks 'it' (12% pause overlap); gated walk correctly picks 'Some' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@773.00,ungated walk picks 'and' (36% pause overlap); gated walk correctly picks 'you' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@775.48,ungated walk picks 'by' (35% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@790.06,ungated walk picks 'The' (44% pause overlap); gated walk correctly picks 'one' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@793.46,ungated walk picks 'There' (22% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@802.84,ungated walk picks 'perimeter' (32% pause overlap); gated walk correctly picks 'That' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@820.06,ungated walk picks 'it' (34% pause overlap); gated walk correctly picks 'long' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@843.12,ungated walk picks 'say' (26% pause overlap); gated walk correctly picks 'so' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@851.30,ungated walk picks 'stands' (42% pause overlap); gated walk correctly picks 'He' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@862.46,ungated walk picks 'at' (46% pause overlap); gated walk correctly picks 'night' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@868.56,ungated walk picks 'and' (8% pause overlap); gated walk correctly picks 'kills' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@872.36,ungated walk picks 'site' (35% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@875.18,ungated walk picks 'old' (25% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@880.60,ungated walk picks 'yours' (36% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@888.18,ungated walk picks 'The' (42% pause overlap); gated walk correctly picks 'rotations' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@913.98,ungated walk picks 'open' (42% pause overlap); gated walk correctly picks 'ground' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@918.80,ungated walk picks 'found' (9% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@920.98,ungated walk picks 'You' (29% pause overlap); gated walk correctly picks 'carry' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@939.82,ungated walk picks 'river' (37% pause overlap); gated walk correctly picks 'those' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@950.16,ungated walk picks 'of' (8% pause overlap); gated walk correctly picks 'Ben' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@956.82,ungated walk picks 'He' (25% pause overlap); gated walk correctly picks 'places' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@958.68,ungated walk picks 'and' (6% pause overlap); gated walk correctly picks 'you' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@961.06,ungated walk picks 'You' (15% pause overlap); gated walk correctly picks 'watch' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@967.14,ungated walk picks 'which' (31% pause overlap); gated walk correctly picks 'is' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@968.94,ungated walk picks 'know' (35% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@979.80,ungated walk picks 'That' (23% pause overlap); gated walk correctly picks 'young' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@984.50,ungated walk picks 'is' (18% pause overlap); gated walk correctly picks 'not' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@988.34,ungated walk picks 'ready' (34% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@994.58,ungated walk picks 'in' (23% pause overlap); gated walk correctly picks 'his' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@999.96,ungated walk picks 'an' (25% pause overlap); gated walk correctly picks 'ease' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1002.00,ungated walk picks 'is' (25% pause overlap); gated walk correctly picks 'actually' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1024.26,ungated walk picks 'gone' (19% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1031.08,ungated walk picks 'You' (22% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1060.68,ungated walk picks 'They' (30% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1063.74,ungated walk picks 'them' (44% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1079.30,ungated walk picks 'Not' (17% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1082.44,ungated walk picks 'The' (17% pause overlap); gated walk correctly picks 'specific' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1085.14,ungated walk picks 'Or' (18% pause overlap); gated walk correctly picks 'reliable' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1096.28,ungated walk picks 'To' (20% pause overlap); gated walk correctly picks 'how' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1111.14,ungated walk picks 'is' (27% pause overlap); gated walk correctly picks 'not' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1118.18,ungated walk picks 'The' (16% pause overlap); gated walk correctly picks 'same' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1130.30,ungated walk picks 'winning' (3% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1137.04,ungated walk picks 'there' (10% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1143.50,ungated walk picks 'You' (18% pause overlap); gated walk correctly picks 'tell' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1148.98,ungated walk picks 'dark' (10% pause overlap); gated walk correctly picks 'chose' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1150.18,ungated walk picks 'Most' (38% pause overlap); gated walk correctly picks 'of' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1154.46,ungated walk picks 'as' (23% pause overlap); gated walk correctly picks 'a' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1157.50,ungated walk picks 'The' (19% pause overlap); gated walk correctly picks 'body' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1164.28,ungated walk picks 'You' (18% pause overlap); gated walk correctly picks 'this' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1174.02,ungated walk picks 'of' (21% pause overlap); gated walk correctly picks 'The' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1179.80,ungated walk picks 'talking' (42% pause overlap); gated walk correctly picks 'It' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1182.48,ungated walk picks 'of' (45% pause overlap); gated walk correctly picks 'All' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1185.12,ungated walk picks 'let' (19% pause overlap); gated walk correctly picks 'them' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1190.56,ungated walk picks 'The' (38% pause overlap); gated walk correctly picks 'one' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1197.62,ungated walk picks 'but' (38% pause overlap); gated walk correctly picks 'your' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1204.80,ungated walk picks 'Three' (32% pause overlap); gated walk correctly picks 'win' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1210.98,ungated walk picks 'people' (44% pause overlap); gated walk correctly picks 'who' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1214.54,ungated walk picks 'them' (30% pause overlap); gated walk correctly picks 'What' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1217.82,ungated walk picks 'You' (25% pause overlap); gated walk correctly picks 'at' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1227.84,ungated walk picks 'Young' (13% pause overlap); gated walk correctly picks 'hunters' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1235.20,ungated walk picks 'You' (34% pause overlap); gated walk correctly picks 'are' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1243.38,ungated walk picks 'and' (23% pause overlap); gated walk correctly picks 'what' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1244.58,ungated walk picks 'You' (20% pause overlap); gated walk correctly picks 'describe' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1248.30,ungated walk picks 'when' (47% pause overlap); gated walk correctly picks 'something' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1250.44,ungated walk picks 'You' (31% pause overlap); gated walk correctly picks 'describe' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1255.52,ungated walk picks 'and' (31% pause overlap); gated walk correctly picks 'why' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1258.92,ungated walk picks 'you' (18% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1266.16,ungated walk picks 'body' (46% pause overlap); gated walk correctly picks 'You' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1273.20,ungated walk picks 'and' (14% pause overlap); gated walk correctly picks 'it' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1290.24,ungated walk picks 'and' (25% pause overlap); gated walk correctly picks 'you' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1303.02,ungated walk picks 'It' (14% pause overlap); gated walk correctly picks 'lives' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1319.78,ungated walk picks 'line' (13% pause overlap); gated walk correctly picks 'Back' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1331.56,ungated walk picks 'You' (41% pause overlap); gated walk correctly picks 'watch' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1335.24,ungated walk picks 'sound' (5% pause overlap); gated walk correctly picks 'She' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1354.60,ungated walk picks 'She' (37% pause overlap); gated walk correctly picks 'will' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1376.96,ungated walk picks 'The' (26% pause overlap); gated walk correctly picks 'child' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1381.78,ungated walk picks 'The' (27% pause overlap); gated walk correctly picks 'sudden' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1390.26,ungated walk picks 'That' (5% pause overlap); gated walk correctly picks 'child' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1403.22,ungated walk picks 'They' (49% pause overlap); gated walk correctly picks 'will' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1408.40,ungated walk picks 'wind' (6% pause overlap); gated walk correctly picks 'They' — scorer misattribution
C05,scorer short-trailing-word overlap gate,v6,v6@1415.34,ungated walk picks 'The' (25% pause overlap); gated walk correctly picks 'dark' — scorer misattribution
C06,ASR dropout run,v6,v6#26-28,"3 consecutive segments with zero matched words — ASR content dropout, not isolated skips"
C10,seam cross-attribution (script vs acoustic),v6,v6#70,2 seam words attributed to the wrong side (Wind through) — script break and acoustic break disagree
C05,scorer short-trailing-word overlap gate,173,173@12.10,ungated walk picks 'gone' (32% pause overlap); gated walk correctly picks 'before' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@117.06,ungated walk picks 'For' (33% pause overlap); gated walk correctly picks 'everyone' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@135.50,ungated walk picks 'and' (22% pause overlap); gated walk correctly picks 'too' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@145.74,ungated walk picks 'The' (8% pause overlap); gated walk correctly picks 'corridors' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@169.82,ungated walk picks 'The' (18% pause overlap); gated walk correctly picks 'atmosphere' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@174.52,ungated walk picks 'the' (43% pause overlap); gated walk correctly picks 'last' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@260.90,ungated walk picks 'The' (10% pause overlap); gated walk correctly picks 'chaos' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@302.20,ungated walk picks 'In' (20% pause overlap); gated walk correctly picks 'the' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@392.98,ungated walk picks 'The' (15% pause overlap); gated walk correctly picks 'only' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@480.40,ungated walk picks 'They' (17% pause overlap); gated walk correctly picks 'weren' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@513.50,ungated walk picks 'the' (33% pause overlap); gated walk correctly picks 'warp' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@553.24,ungated walk picks 'The' (29% pause overlap); gated walk correctly picks 'deterior' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@609.04,ungated walk picks 'The' (23% pause overlap); gated walk correctly picks 'final' — scorer misattribution
C05,scorer short-trailing-word overlap gate,173,173@659.60,ungated walk picks 'in' (24% pause overlap); gated walk correctly picks 'didn' — scorer misattribution
