order,tag,text,startTime,duration,endTime,anchorSource
87,deep_void_tunnels,"Tomb complexes extend kilometers below the surface through dimensionally compressed architecture,",332.79,6.21,339,forced-alignment
88,spatial_anomaly,rooms that register on auspex scans as physically larger than the geological formation around them should permit.,339,6.37,345.37,forced-alignment
89,glitch_check,Whether that’s a sensor artifact or accurate data is,345.37,3.56,348.93,forced-alignment
90,rapid_skirmish_clash,not a question anyone fighting inside has time to settle.,348.93,3.57,352.5,forced-alignment
91,recovery_formation,The defenders reassemble after being destroyed.,352.5,3.25,355.75,forced-alignment
92,distinctive_property_highlight,That single feature separates this from every other hostile environment on this list.,355.75,5.62,361.37,forced-alignment
93,safety_passage,A fire lane is cleared.,361.37,1.99,363.36,forced-alignment
94,combatants_defeat_scene,Warriors go down.,363.36,1.41,364.77,forced-alignment
95,fixed_march,Twenty minutes later they’ve partially rebuilt and resumed patrol.,364.77,4.52,369.29,forced-alignment
96,count_void,Progress measured in confirmed eliminations stops being meaningful.,369.29,4.25,373.54,forced-alignment
97,architectural_pivot,"The structure itself continuously reconfigures around the intrusion, sealing corridors, shifting gravity orientations, cycling through",373.54,8.66,382.2,forced-alignment
98,ancient_guardian_mechanism,"defensive responses the way a biological organism cycles through immune responses, automatic, tireless, and scaling up.",382.2,7.14,389.34,forced-alignment
99,reveal_secret_chamber,The Astral Knights found this out aboard the World Engine.,389.34,3.84,393.18,forced-alignment
100,tactical_bypass,The only thing that worked was abandoning the model of fighting through an enemy position entirely,393.18,6.11,399.29,forced-alignment
101,explosive_focus,and treating the structure as a demolition target instead.,399.29,3.85,403.14,forced-alignment
102,vicious_wilds,The environment didn’t stop being hostile after that decision.,403.14,3.62,406.76,forced-alignment
103,heavy_effort,It just became a problem with a physical solution rather than a tactical one.,406.76,4.8,411.56,forced-alignment
104,void_guardian_watch,"Number Two, Cadian Space.",411.56,2.13,413.69,forced-alignment
105,void_boundary,Cadia sits at the edge of a permanent spatial rupture where the laws,413.69,3.46,417.15,forced-alignment
106,logic_clash,governing material reality are contested in ways standard military planning doesn’t account for.,417.15,7.04,424.19,forced-alignment
107,void_vessel_steering,Navigation through the outer reaches of the Eye of Terror,424.19,3.29,427.48,forced-alignment
108,gadget_decay,requires specialized instruments that themselves degrade the deeper in you go.,427.48,4.98,432.46,forced-alignment
109,temporal_flux,Helmsmen on those routes age at accelerated rates.,432.46,3.84,436.3,forced-alignment
110,unstable_path,Ships that enter the inner Eye on standard transit projections sometimes emerge centuries off course.,436.3,7.27,443.57,forced-alignment
111,shadow_loss,Some don’t emerge.,443.57,1.4,444.97,forced-alignment
112,shirking_foundation,"For ground forces during active incursions, the problem is reality as an unreliable physical substrate.",444.97,7.63,452.6,forced-alignment
113,onslaught_epoch,"During the 13th Black Crusade,",452.6,2.15,454.75,forced-alignment
114,malignant_swirl_weather,corruption radiating from Abaddon’s fleet destabilized atmospheric conditions across entire operating zones.,454.75,7.62,462.37,forced-alignment
115,gear_halted,Equipment failed with no physical damage to explain it.,462.37,3.32,465.69,forced-alignment
116,alien_topography,"Soldiers who spent extended time in contaminated sectors reported geography that didn’t match survey maps,",465.69,6.6,472.29,forced-alignment
117,mystery_signal_lag,"vox-traffic on dead frequencies, and an inability to track time between events.",472.29,5.24,477.53,forced-alignment
118,varied_battalions,These were documented across multiple units.,477.53,3.08,480.61,forced-alignment
119,resolute_stand,They weren’t morale failures.,480.61,1.72,482.33,forced-alignment
120,unprotected_exposure,They were the operational signature of the Eye’s effect on personnel without shielding.,482.33,5.47,487.8,forced-alignment
121,military_origin,Cadian Shock Troops were trained from the start with all of this as a baseline.,487.8,4.57,492.37,forced-alignment
122,routine_protocol,They treated it as standard operating parameters rather than emergency conditions.,492.37,5.11,497.48,forced-alignment
123,extraordinary_divide,That gap between a force that had normalized the impossible,497.48,3.47,500.95,forced-alignment
124,strike_encounter,and a force meeting it for the first time determined most of the tactical results at the Cadian Gate.,500.95,6.06,507.01,forced-alignment
125,fallen_regiment_site,The Cadians died there too.,507.01,1.82,508.83,forced-alignment
126,policy_check,They just had doctrine that already had a line item for it.,508.83,3.77,512.6,forced-alignment
127,distorted_rift,"Number One, The Warp, Uncontrolled.",512.6,2.9,515.5,forced-alignment
128,purple_nebula,Every interstellar vessel passes through the Warp to reach the next star system.,515.5,5.08,520.58,forced-alignment
129,perilous_overpass_doom,Nobody has survived losing control of that crossing.,520.58,3.75,524.33,forced-alignment
130,mystic_corridor,The Warp enables faster-than-light travel.,524.33,2.84,527.17,forced-alignment
131,void_entropy,It also operates under conditions where stable matter has no particular standing.,527.17,5.6,532.77,forced-alignment
132,craft_ward_vanishing,"A ship that loses its Geller field,",532.77,2.35,535.12,forced-alignment
133,stable_shield,"the containment system maintaining a bubble of material-reality coherence around the hull, isn’t a vessel in a dangerous environment anymore.",535.12,8.35,543.47,forced-alignment
134,unstable_formation,It’s matter trying to hold its shape somewhere,543.47,2.42,545.89,forced-alignment
135,pattern_chaos,that actively works against the concept of shape.,545.89,2.76,548.65,forced-alignment
136,strange_fate_occurs,The crew doesn’t die the way crews die when life support fails.,548.65,4.78,553.43,forced-alignment
137,chaotic_rot_witness,The deterioration comes from outside in and doesn’t follow a sequence anyone has successfully predicted.,553.43,6.91,560.34,forced-alignment
138,harsh_territory_evaluation,What makes this the worst environment in the setting,560.34,3.16,563.5,forced-alignment
139,unbound_chaos,is what gets stripped away the moment control fails.,563.5,2.93,566.43,forced-alignment
140,erratic_tide,Navigation stops working because Warp currents have no fixed relationship to physical distances.,566.43,6.41,572.84,forced-alignment
141,chronal_drift,"Time becomes operationally non-linear: vessels have exited transit weeks before they entered,",572.84,6.87,579.71,forced-alignment
142,view_trapped_warrior,"as measured by external observers, and some have never exited despite correct departure coordinates.",579.71,6.57,586.28,forced-alignment
143,unstable_spirit_journey,Crew psychological integrity declines in proportion to transit duration and proximity to Warp anomalies.,586.28,7.6,593.88,forced-alignment
144,broken_link,Communication with anything outside the hull is severed.,593.88,3.95,597.83,forced-alignment
145,battle_network,"Supply lines, reinforcements, intelligence, extraction, everything a military force depends on",597.83,5.86,603.69,forced-alignment
146,protection_failure,"for sustained operation, ceases to function the moment the Geller field goes.",603.69,5.55,609.24,forced-alignment
147,entry_clash,The final boarding of the Vengeful Spirit illustrated,609.24,3.27,612.51,forced-alignment
148,unstable_energy_consequence,what even partial Warp exposure does at close range.,612.51,4.42,616.93,forced-alignment
149,warp_lightning_entry,"A targeted teleport assault,",616.93,2.01,618.94,forced-alignment
150,engine_flash_array,"the most controlled form of Warp-adjacent transit available, was used as a dispersion mechanism.",618.94,5.74,624.68,forced-alignment
151,team_disperse,The loyalist strike force scattered across a corrupted interior.,624.68,4.57,629.25,forced-alignment
152,void_fission,Pocket instabilities isolated individuals from their units mid-transit.,629.25,5.21,634.46,forced-alignment
153,hidden_zone_vacuum,Dorn was displaced into a pocket dimension entirely.,634.46,3.82,638.28,forced-alignment
154,hallway_warp,Corridors changed geometry around active engagements.,638.28,3.68,641.96,forced-alignment
155,corrupted_frame,"That was one ship, partially destabilized by prolonged Warp exposure.",641.96,4.76,646.72,forced-alignment
156,maelstrom_dawn,"The open Warp produces those conditions as its starting point, not its worst case.",646.72,5.4,652.12,forced-alignment
157,lost_legion_void,No military force has operated effectively inside the open Warp without navigation.,652.12,5.64,657.76,forced-alignment
158,perilous_void_threshold,The ones that lost control going in didn’t return to write up what happened.,657.76,5.22,662.98,forced-alignment
159,nature_hazard,"The environment holds that record not because it kills efficiently,",662.98,4.27,667.25,forced-alignment
160,strategic_void,but because it removes the preconditions for any organized response.,667.25,4.47,671.72,forced-alignment
161,boundary_failed,You cannot establish a perimeter.,671.72,2.26,673.98,forced-alignment
162,failing_defense_line,You cannot hold ground.,673.98,1.62,675.6,forced-alignment
163,halted_progress,You cannot advance on an objective.,675.6,2.29,677.89,forced-alignment
164,mental_persistence,"Staying coherent long enough to matter is about the best available outcome,",677.89,4.24,682.13,forced-alignment
165,uncertain_outcome,and that’s not a given.,682.13,1.4,683.53,forced-alignment
166,deadly_climate,Some environments kill soldiers.,683.53,2.19,685.72,forced-alignment
167,strategic_collapse_disarray,These kill the structure of a mission before the first order reaches anyone.,685.72,5.66,691.38,forced-alignment
168,strategic_metric_view,The officers who sent men into these places had the parameters in front of them,691.38,4.66,696.04,forced-alignment
169,troop_deployment,and sent them anyway.,696.04,1.5,697.54,forced-alignment
170,logic_surplus,The calculation kept producing the same answer: the alternative cost more.,697.54,4.7,702.24,forced-alignment
171,routine_occurrence,Usually it did.,702.24,1.25,703.49,forced-alignment
172,unyielding_terrain,The hard places stay hard.,703.49,1.76,705.25,forced-alignment
173,perpetual_clash,The wars don’t stop.,705.25,1.3,706.55,forced-alignment
174,upcoming_assignment,Somebody else gets the briefing next.,706.55,2.46,709.01,forced-alignment
