# FA FIDELITY REFERENCE — NOT a production behavioral target.
# Source: measure-forced-alignment-hf.py (transformers Wav2Vec2ForCTC, jonatasgrosman/wav2vec2-large-xlsr-53-english), run with pad-sec=3.0 and neighbour-midpoint windowing (align_segment's floor_bound/ceil_bound clamp) — this is MEASUREMENT convention, chosen to keep one segment's alignment window from bleeding into a neighbour's real speech during this measurement pass.
# R.4 (sync-pipeline-v2-plan.md) specifies PAD_BASE 0.75s for production. The audit that led to R.4 traced the midpoint-clamp windowing strategy used here to five documented failures on gapless corpora (docs/history.md) — this baseline's windowing is NOT what production should do.
# Therefore: this is a FIDELITY reference for the Rust jonatasgrosman/ONNX/Viterbi port to reproduce this model's own achievable output on this input, NOT a behavioral target for what Apply Sync should commit. Do not wire this baseline's numbers into a production-timing comparison.
# R-Q REGENERATION (docs/work-in-progress.md, this session): this fixture previously used torchaudio's MMS_FA bundle (CC-BY-NC-4.0, barred from shipping by Decision 3). It has been regenerated here against jonatasgrosman/wav2vec2-large-xlsr-53-english (Apache-2.0) — the actual model family production ships — resolving R-Q's stated obligation. The prior MMS-FA capture's own numbers are superseded; retrieve them from git history if a historical comparison is ever needed.
# This baseline captures the FIRST run of this HF-harness/jonatasgrosman pairing against these three projects' committed segments — there is nothing to diff it against yet; this run establishes the reference.
# Production ships jonatasgrosman/wav2vec2-large-xlsr-53-{en,es,fr,de,pt}, with per-language CTC vocabs of 33 (en) / 41 (es) / 59 (fr) / 38 (de) / 46 (pt) symbols.
# This fixture IS now a valid reference for text normalization and vocab coverage too (unlike its MMS-FA predecessor), since it uses the real shipping model's own alphabet — though it still measures via transformers/torchaudio's forced_align, not this repo's own Rust Viterbi port; the Rust port's own fidelity is independently verified by fa-onnx-emission-*.json/fa-e2e-alignment-*.json (zero-tolerance parity, Slices D2/D4), which this fixture does not replace or duplicate.
seg,text,startSec,endSec,score
5,the,21.316,21.396,0.929
5,killing,21.436,21.777,0.9999
5,before,21.877,22.138,0.9996
5,the,22.178,22.238,0.9941
5,enemy,22.298,22.519,0.9993
5,showed,22.559,22.799,0.8614
5,up.,22.879,23.0,0.9998
6,Number,23.421,23.623,0.9999
6,"Six,",23.763,24.005,0.943
6,Catachan.,24.166,24.669,0.2086
7,Before,25.13,25.451,0.9849
7,Catachan,25.531,26.132,0.4222
7,produced,26.313,26.774,0.9997
7,the,26.834,26.914,0.8854
7,Imperium’s,26.974,27.595,0.9556
7,most,27.695,27.856,0.8947
7,capable,27.936,28.337,0.9999
7,baseline,28.437,28.898,0.9972
7,human,28.958,29.178,0.9483
7,"soldiers,",29.258,29.719,0.9989
8,the,30.321,30.401,0.9989
8,planet,30.462,30.803,1.0
8,had,30.984,31.144,0.9951
8,a,31.204,31.224,0.9987
8,simpler,31.345,31.706,0.9961
8,reputation.,31.787,32.349,1.0
9,It,32.911,32.992,0.996
9,killed,33.052,33.434,1.0
9,everything,33.796,34.138,1.0
9,on,34.238,34.298,0.9999
9,it.,34.379,34.459,1.0
10,The,34.801,34.881,0.993
10,jungle,34.941,35.282,1.0
10,didn’t,35.663,35.904,0.9097
10,evolve,35.944,36.285,1.0
10,around,36.346,36.586,1.0
10,human,36.687,36.927,0.9481
10,warfare.,36.988,37.449,1.0
11,It,37.95,38.031,0.8779
11,spent,38.111,38.371,0.9973
11,millions,38.692,39.073,1.0
11,of,39.153,39.193,0.9999
11,years,39.293,39.734,0.9999
11,optimizing,40.135,40.757,0.9289
11,toward,40.797,40.997,0.9999
11,a,41.057,41.077,0.9987
11,single,41.158,41.438,0.9775
11,"outcome,",41.538,41.899,1.0
12,and,42.542,42.662,0.9771
12,anything,42.904,43.205,0.9615
12,with,43.225,43.326,0.9571
12,a,43.366,43.386,0.962
12,nervous,43.446,43.688,0.9554
12,system,43.748,44.05,0.9627
12,is,44.271,44.391,0.9968
12,on,44.552,44.592,0.9987
12,the,44.653,44.713,0.9998
12,wrong,44.753,44.934,0.9791
12,side,45.035,45.216,1.0
12,of,45.256,45.296,0.9988
12,that,45.316,45.417,0.8646
12,outcome.,45.497,45.839,0.9999
13,Humidity,46.261,46.663,0.9998
13,wrecks,46.723,47.024,0.8871
13,unprotected,47.266,47.888,0.9999
13,electronics,47.969,48.652,1.0
13,inside,48.933,49.355,1.0
13,a,49.415,49.435,0.9997
13,few,49.496,49.677,1.0
13,hours.,49.737,50.179,0.9456
14,Las-charge,50.661,51.245,0.0962
14,packs,51.285,51.566,0.9859
14,corrode.,51.587,52.19,0.0329
15,Optical,52.432,52.775,0.9999
15,scopes,52.856,53.199,1.0
15,fog,53.28,53.563,0.8967
15,permanently.,53.684,54.128,0.9661
16,The,54.51,54.59,0.9995
16,canopy,54.63,55.031,0.9752
16,generates,55.291,55.792,0.9999
16,a,55.912,55.932,0.9947
16,biological,56.212,56.913,0.9988
16,electrical,56.973,57.353,0.9084
16,field,57.453,57.814,0.9999
16,that,57.934,58.054,0.9999
16,jams,58.134,58.575,0.9992
16,"vox-casters,",58.635,59.015,0.0272
17,something,59.115,60.038,0.8879
17,the,60.078,60.138,0.9662
17,Mechanicus,60.179,60.74,0.9544
17,has,60.821,60.941,0.9989
17,catalogued,61.041,61.723,0.6884
17,and,62.225,62.285,0.998
17,never,62.385,62.606,0.9969
17,adequately,62.746,63.148,0.9938
17,explained.,63.208,63.689,0.9976
18,That’s,64.091,64.312,0.9253
18,before,64.352,64.734,1.0
18,anything,65.337,65.779,0.9996
18,in,65.84,65.9,0.9998
18,the,65.94,66.021,0.9946
18,jungle,66.081,66.403,0.989
18,decides,66.483,66.885,0.9994
18,to,66.925,66.985,0.9999
18,engage.,67.066,67.629,1.0
19,Catachan,68.071,68.493,0.2924
19,devil,68.573,68.814,0.9997
19,ants,69.376,69.577,0.9129
19,dissolve,69.657,70.2,0.9999
19,flesh,70.28,70.581,0.9919
19,faster,70.662,71.103,1.0
19,than,71.164,71.284,0.9695
19,combat-grade,71.365,72.027,0.143
19,acid.,72.128,72.409,0.9999
20,The,72.851,72.931,0.9997
20,Catachan,72.972,73.434,0.5171
20,devil,73.514,73.735,0.9999
20,"itself,",73.816,74.278,1.0
20,six,74.741,74.921,0.9997
20,"limbs,",75.082,75.444,0.9997
20,chitin,75.826,76.128,0.0434
20,thick,76.208,76.349,0.9996
20,enough,76.389,76.61,0.2225
21,to,76.61,76.65,0.2505
21,deflect,76.71,77.071,0.9885
21,small,77.172,77.472,0.9999
21,arms,77.693,77.914,0.999
21,"fire,",77.994,78.375,0.9999
21,hunts,78.676,78.956,0.9747
21,by,79.017,79.137,0.9999
21,thermal,79.217,79.498,0.9998
21,signature.,79.598,80.039,0.9999
22,Strangler,80.56,81.001,0.9997
22,plants,81.081,81.442,0.9989
22,drop,81.542,81.803,0.9998
22,tendrils,81.923,82.544,0.9916
22,that,82.844,83.005,0.9917
22,sever,83.285,83.545,0.9998
22,limbs,83.646,84.026,0.9996
22,before,84.106,84.367,0.9998
22,the,84.407,84.487,0.9922
22,soldier,84.547,84.868,1.0
22,registers,84.928,85.389,0.9622
22,contact.,85.449,86.01,0.9998
23,Miral,86.491,86.812,0.0388
23,land,86.852,87.153,1.0
23,sharks,87.434,87.835,0.9977
23,track,87.915,88.216,0.971
23,ground,88.256,88.517,0.9994
23,vibration.,88.577,89.159,0.9986
24,Every,89.741,89.982,0.9999
24,shadow,90.042,90.504,0.9994
24,has,90.644,90.825,0.9992
24,been,90.885,91.046,0.9999
24,occupying,91.287,91.829,0.9996
24,it,91.889,91.949,0.9915
24,longer,92.029,92.451,1.0
24,than,92.812,92.953,0.998
24,any,93.194,93.334,1.0
24,patrol,93.414,93.796,0.9995
24,has,93.916,94.017,0.9929
24,been,94.057,94.197,0.9311
24,searching,94.278,94.619,0.9867
24,it.,94.679,94.759,0.9999
25,Forces,95.2,95.641,0.9998
25,without,95.701,95.961,0.9959
25,Catachan-born,96.062,96.743,0.5927
25,soldiers,96.863,97.344,0.9447
25,operate,97.924,98.305,1.0
25,at,98.405,98.465,0.9995
25,a,98.545,98.565,0.9968
25,deficit,98.625,99.066,0.9954
25,that,99.387,99.527,0.9972
25,no,99.687,99.787,0.9999
25,amount,99.887,100.128,0.9842
25,of,100.208,100.248,0.9994
25,preparation,100.328,100.829,0.9999
25,closes.,100.909,101.39,1.0
26,The,101.831,101.931,0.9929
26,jungle,101.991,102.272,0.9699
26,doesn’t,102.332,102.573,0.999
26,telegraph,102.614,103.236,0.9997
26,its,103.397,103.517,0.9994
26,threats.,103.577,104.039,0.9455
27,It,104.581,104.661,0.9998
27,withholds,104.861,105.382,0.9953
27,them,105.443,105.663,0.9999
27,until,105.884,106.164,0.9904
27,they’re,106.224,106.405,0.8467
27,already,106.786,107.086,0.9529
27,past,107.187,107.427,0.9198
27,the,107.467,107.548,0.9202
27,point,107.588,107.708,0.9973
27,of,107.748,107.788,0.9969
27,response.,107.808,108.289,0.9876
28,Catachan,108.751,109.173,0.3616
28,regiments,109.233,109.635,0.9973
28,work,109.775,110.017,0.9999
28,in,110.097,110.137,0.9998
28,that,110.197,110.318,1.0
28,environment,110.378,110.76,0.4
29,because,110.9,111.161,0.9933
29,they,111.201,111.341,0.9396
29,grew,111.381,111.581,0.9989
29,up,111.641,111.742,0.9997
29,treating,111.822,112.162,0.9999
29,survival,112.242,112.783,0.9409
29,as,113.104,113.184,0.9988
29,a,113.264,113.284,0.9526
29,practical,113.344,113.805,0.9999
29,discipline,114.225,114.786,0.9998
29,rather,115.267,115.607,0.9997
29,than,115.708,115.868,0.9994
29,an,115.988,116.028,0.9923
29,expected,116.088,116.549,0.9974
29,outcome.,116.629,117.01,0.9325
30,For,117.471,117.571,0.9999
30,everyone,117.632,117.933,0.9999
30,"else,",118.034,118.295,0.9999
30,the,118.596,118.677,0.9983
30,mission,118.757,119.059,1.0
30,doesn’t,119.179,119.501,0.9585
30,fail,119.581,119.963,0.9921
30,on,120.526,120.586,0.9999
30,Catachan.,120.706,121.249,0.2245
31,The,121.652,121.732,0.999
31,jungle,121.793,122.096,0.9154
31,absorbs,122.116,122.519,0.9999
31,it,122.58,122.661,0.9998
31,and,122.762,122.842,0.9999
31,moves,122.903,123.125,0.9998
31,on.,123.306,123.427,0.9999
32,Number,123.911,124.112,0.9995
32,"Five,",124.172,124.594,0.9994
32,Space,124.935,125.257,1.0
32,Hulks.,125.297,125.659,0.9121
33,A,126.181,126.201,0.9999
33,Space,126.281,126.602,1.0
33,Hulk,126.642,126.882,0.9993
33,is,127.163,127.243,0.999
33,centuries,127.364,127.905,0.9926
33,of,128.085,128.146,0.9997
33,accumulated,128.226,128.867,0.9999
33,"ships,",128.968,129.289,0.8979
33,"stations,",129.569,129.87,0.5363
34,and,130.23,130.29,0.9905
34,"debris,",130.331,130.711,0.4241
34,fused,131.412,131.852,0.9949
34,by,131.912,132.032,0.9998
34,warp,132.133,132.373,0.9993
34,transit,132.453,132.853,0.9557
34,into,132.974,133.154,0.9936
34,a,133.234,133.254,0.9965
34,structure,133.334,133.815,0.9809
34,too,134.035,134.215,0.9997
34,massive,134.295,134.776,0.9942
34,to,134.836,134.916,0.9997
34,ignore,134.996,135.416,0.9996
34,and,135.937,136.017,0.9998
34,too,136.157,136.317,0.9971
34,unstable,136.398,136.878,0.9998
34,for,136.938,137.038,0.9993
34,any,137.138,137.279,0.9997
34,chart,137.339,137.539,0.9994
34,to,137.599,137.639,0.9749
34,stay,137.679,137.839,0.9387
34,current,137.899,138.12,0.3311
34,on.,138.2,138.3,0.9871
35,Boarding,138.741,139.104,0.9858
35,one,139.346,139.466,0.9994
35,isn’t,139.688,139.93,0.9996
35,a,140.091,140.111,0.9999
35,tactical,140.171,140.594,0.9999
35,challenge.,140.655,141.118,1.0
36,It’s,141.6,141.741,0.9996
36,a,141.801,141.821,0.9983
36,structural,141.901,142.402,1.0
36,impossibility,142.502,143.244,0.9992
36,that,143.304,143.424,0.9995
36,command,143.485,143.906,0.9999
36,has,143.966,144.086,0.9973
36,decided,144.166,144.627,0.9964
36,cannot,144.727,145.028,0.9992
36,be,145.088,145.168,0.9997
36,avoided.,145.228,145.669,0.9999
37,The,146.092,146.173,0.9999
37,corridors,146.213,146.679,1.0
37,weren’t,146.76,147.023,0.9911
37,built.,147.063,147.347,0.9912
38,They’re,147.811,148.032,0.9347
38,the,148.052,148.112,0.992
38,overlapping,148.413,149.016,1.0
38,interiors,149.096,149.739,0.9948
38,of,149.779,149.819,0.9918
38,vessels,149.879,150.281,0.9989
38,that,150.642,150.723,0.9997
38,were,150.763,150.843,0.9974
38,never,150.883,151.044,0.9166
38,designed,151.104,151.405,0.9991
38,to,151.425,151.486,0.9858
38,share,151.506,151.747,0.9983
38,a,151.807,151.827,0.9951
38,"wall,",151.907,152.229,0.9257
39,smashed,152.891,153.352,0.9733
39,into,153.513,153.733,0.9997
39,adjacency,153.793,154.435,0.9999
39,by,154.836,154.957,1.0
39,warp,155.077,155.318,0.9996
39,physics.,155.398,155.839,0.9996
40,Floors,156.341,156.702,0.9998
40,become,156.762,157.023,0.9931
40,ceilings,157.144,157.565,0.9982
40,two,157.685,157.886,0.9997
40,junctions,158.007,158.468,0.9665
40,in.,158.569,158.689,0.9993
41,Gravity,159.151,159.554,1.0
41,plates,159.634,160.017,0.9995
41,from,160.097,160.218,0.9969
41,different,160.339,160.661,1.0
41,ships,160.721,161.063,0.9863
41,pull,161.446,161.707,0.9422
41,in,161.848,161.888,0.9952
41,competing,161.969,162.15,0.0007
42,directions,162.472,163.075,0.9715
42,in,163.196,163.256,0.9993
42,rooms,163.377,163.718,0.9987
42,separated,163.839,164.342,0.9999
42,by,164.422,164.543,0.9998
42,a,164.643,164.663,0.9993
42,single,164.784,165.086,1.0
42,bulkhead.,165.186,165.669,0.3492
43,Sections,166.191,166.654,0.9982
43,pressurize,166.754,167.498,0.9414
43,and,167.659,167.739,0.9997
43,vent,167.819,168.04,0.9999
43,without,168.081,168.342,0.905
43,warning,168.422,168.764,0.9921
43,when,168.804,168.905,0.9998
43,something,168.985,169.246,0.9766
43,fails.,169.307,169.749,1.0
44,The,170.21,170.291,0.9993
44,"atmosphere,",170.451,171.052,0.9992
44,where,171.313,171.493,0.9991
44,it,171.553,171.613,0.9781
44,exists,171.653,172.034,0.9999
44,at,172.134,172.195,0.9993
44,"all,",172.315,172.515,0.9978
44,is,173.177,173.237,0.9989
44,a,173.337,173.357,0.9979
44,chemical,173.417,173.778,1.0
44,residue,173.898,174.399,0.8449
45,of,175.001,175.061,0.9997
45,whatever,175.142,175.503,0.9981
45,the,175.584,175.664,0.9997
45,last,175.704,175.965,0.9998
45,crew,176.046,176.247,0.9998
45,left,176.327,176.488,0.9999
45,"behind,",176.548,177.01,0.9142
45,which,177.492,177.653,0.9955
45,includes,177.713,178.115,0.9381
45,whatever,178.175,178.516,0.997
45,finished,178.597,178.938,0.9464
45,them.,178.958,179.099,0.867
46,Genestealers,179.521,180.223,0.3299
46,are,180.424,180.524,0.9454
46,adapted,180.604,181.086,0.9999
46,to,181.166,181.246,0.9975
46,this,181.286,181.407,0.8703
46,geometry,181.467,182.069,0.9999
46,in,182.591,182.631,0.9999
46,ways,182.751,183.153,0.9998
46,that,183.213,183.353,0.986
46,standard,183.434,183.835,0.9975
46,assault,183.915,184.236,0.9368
46,doctrine,184.316,184.758,0.9999
46,isn’t.,184.898,185.159,0.9679
47,They,185.561,185.641,0.9998
47,don’t,185.682,185.802,0.9282
47,need,185.822,185.963,1.0
47,consistent,186.043,186.506,0.9213
47,gravity.,186.546,186.968,1.0
48,They,187.471,187.611,0.9844
48,move,187.711,188.012,0.9999
48,through,188.092,188.353,0.9942
48,ventilation,188.453,189.035,0.9999
48,shafts,189.115,189.597,0.9976
48,with,189.657,189.777,0.9576
48,the,189.797,189.857,0.999
48,velocity,189.877,190.319,0.9995
48,of,190.359,190.419,0.9944
48,a,190.459,190.479,0.9914
48,launched,190.499,190.7,0.0
48,round,190.72,190.82,0.0
49,and,191.542,191.623,0.9893
49,the,191.663,191.743,0.9985
49,acoustic,191.803,192.244,0.9997
49,signature,192.385,192.846,0.9999
49,of,192.947,193.007,0.9995
49,a,193.067,193.087,0.9921
49,maintenance,193.127,193.468,0.9371
49,fault.,193.508,193.769,0.9812
50,Squad,194.31,194.691,0.9227
50,formations,194.771,195.352,0.9832
50,built,195.432,195.612,0.9642
50,around,195.692,195.892,0.9998
50,structured,195.992,196.413,0.9631
50,corridors,196.473,196.914,0.9737
50,collapse,196.974,197.474,0.9986
50,because,197.775,198.095,0.9999
50,line-of-sight,198.215,198.916,0.9672
50,inside,199.116,199.637,0.9421
50,a,199.737,199.757,0.9928
50,hulk,199.817,200.057,0.9782
50,rarely,200.278,200.618,0.9999
50,extends,200.698,201.079,0.9946
50,six,201.139,201.279,0.9992
50,"meters,",201.379,201.679,0.6927
51,and,202.14,202.2,0.2616
51,flanking,202.26,202.662,0.998
51,acquires,202.702,203.084,0.9909
51,a,203.144,203.164,0.9867
51,third,203.204,203.385,0.9957
51,dimension,203.425,203.827,0.9672
51,when,203.867,203.968,0.998
51,the,204.008,204.068,0.9996
51,threat,204.108,204.329,0.9344
51,can,204.369,204.45,1.0
51,arrive,204.51,204.811,0.993
51,from,204.851,204.952,0.9993
51,overhead,205.012,205.454,0.9999
51,or,205.695,205.755,0.9998
51,through,205.815,206.016,0.9903
51,the,206.036,206.116,0.9265
51,wall,206.137,206.277,0.9999
51,itself.,206.357,206.719,0.9999
52,Terminator,207.2,207.661,1.0
52,armor,207.802,208.022,1.0
52,was,208.102,208.223,0.9999
52,developed,208.303,208.804,1.0
52,for,208.884,208.984,0.9994
52,this,209.044,209.205,0.9996
52,specific,209.445,209.986,1.0
52,operational,210.327,210.848,0.9988
52,context.,210.908,211.449,0.9995
53,It,211.952,212.012,1.0
53,still,212.072,212.294,0.9999
53,doesn’t,212.374,212.656,0.9282
53,make,212.757,212.958,0.9998
53,the,212.998,213.079,0.9984
53,casualty,213.119,213.582,1.0
53,rates,213.662,213.984,0.9998
53,acceptable.,214.125,214.688,0.9956
54,It,215.211,215.292,1.0
54,makes,215.372,215.614,0.9998
54,them,215.674,215.815,1.0
54,survivable,215.996,216.66,1.0
54,for,216.74,216.841,0.9998
54,a,216.921,216.941,0.9976
54,fraction,217.002,217.464,1.0
54,of,217.525,217.565,0.9998
54,the,217.605,217.665,0.9999
54,boarding,217.706,217.947,0.9988
54,party.,218.007,218.249,1.0
55,That’s,218.671,218.892,0.9999
55,the,218.952,219.033,0.9994
55,best,219.073,219.294,1.0
55,available,219.355,219.757,0.9591
55,outcome,219.917,220.38,0.9998
55,and,220.902,220.983,0.9574
55,everyone,221.083,221.425,0.9998
55,going,221.485,221.707,0.9995
55,in,221.767,221.807,0.0897
55,knows,221.847,222.048,0.9859
55,it.,222.149,222.229,0.9995
56,Number,222.653,222.856,0.9841
56,"Four,",222.917,223.099,0.999
56,Vraks.,223.281,223.707,0.1289
57,Seventeen,224.234,224.66,1.0
57,years.,224.721,225.086,1.0
58,That,225.531,225.672,0.9921
58,number,225.853,226.075,1.0
58,starts,226.156,226.478,0.8998
58,making,226.558,226.82,0.9487
58,sense,226.941,227.324,0.9999
58,once,227.465,227.626,0.9997
58,you,227.666,227.767,0.8921
58,understand,227.847,228.109,0.001
58,what,228.129,228.21,0.0
59,the,228.431,228.571,0.4441
59,terrain,228.591,228.992,0.8435
59,did,229.112,229.293,0.9999
59,to,229.373,229.453,0.982
59,every,229.694,229.955,0.9998
59,assault,230.015,230.376,0.9763
59,the,230.436,230.516,0.9992
59,Imperium,230.576,231.138,0.975
59,attempted.,231.218,231.679,0.9997
60,Vraks,232.1,232.501,0.5912
60,was,232.561,232.661,0.9999
60,an,232.721,232.761,0.9847
60,armoury,233.002,233.262,0.7669
60,"world,",233.363,233.743,0.9518
60,built,234.064,234.264,0.9997
60,for,234.344,234.444,0.9998
60,storage,234.545,235.045,1.0
60,and,235.166,235.246,1.0
60,protection,235.306,235.847,0.9999
60,rather,236.368,236.648,1.0
60,than,236.688,236.788,0.9991
60,habitation.,236.849,237.389,0.9997
61,Thick,237.911,238.132,0.9897
61,rockcrete,238.253,238.775,0.979
61,everywhere.,239.016,239.499,0.9913
62,Deep,239.943,240.145,1.0
62,vaults,240.227,240.49,0.9993
62,below,240.551,240.835,1.0
62,it.,240.937,240.997,1.0
63,Defensive,241.381,241.883,0.9894
63,lines,241.943,242.385,0.9999
63,pre-dating,242.485,242.967,0.7417
63,the,243.007,243.087,0.9963
63,siege,243.168,243.549,0.1295
63,by,243.569,243.609,0.0
63,"centuries,",243.629,243.81,0.0
64,constructed,244.792,245.373,0.9996
64,specifically,245.453,246.094,0.9999
64,to,246.154,246.235,0.9475
64,resist,246.295,246.695,0.9998
64,the,246.816,246.896,0.999
64,type,246.956,247.176,0.9994
64,of,247.216,247.277,0.9995
64,assault,247.357,247.657,0.9858
64,being,247.737,247.938,0.9841
64,attempted,247.998,248.399,0.9765
64,against,248.459,248.739,0.9863
64,them.,248.779,248.9,0.9999
65,The,249.321,249.381,0.9999
65,attacking,249.442,249.924,0.9997
65,forces,249.984,250.366,0.9995
65,had,250.406,250.567,0.896
65,to,250.627,250.687,0.9999
65,advance,250.748,251.27,1.0
65,into,251.431,251.612,0.9939
65,ground,251.652,251.994,0.9999
65,that,252.054,252.134,0.9997
65,had,252.174,252.255,0.8649
65,been,252.275,252.416,0.9896
65,"engineered,",252.516,253.159,1.0
66,decades,253.46,253.902,0.9996
66,before,253.942,254.143,0.9684
66,they,254.183,254.263,0.999
66,"arrived,",254.303,254.785,0.9972
66,to,254.945,255.026,0.9989
66,stop,255.086,255.347,0.9995
66,exactly,255.467,255.949,0.9978
66,them.,255.989,256.109,0.9998
67,Trenches,256.531,256.933,0.9349
67,funnel,257.033,257.294,0.9931
67,movement,257.354,257.736,0.9094
67,and,258.298,258.419,0.9992
67,eliminate,258.6,259.122,0.7779
67,flanking,259.202,259.704,0.9995
67,at,259.905,259.985,0.9999
67,the,260.046,260.126,0.9971
67,squad,260.186,260.528,0.9062
67,level.,260.628,260.849,0.9999
68,The,261.311,261.391,0.9999
68,Chaos-aligned,261.451,262.194,0.1479
68,defenders,262.234,262.776,0.9998
68,added,262.937,263.218,1.0
68,persistent,263.298,263.82,0.9997
68,acidic,263.92,264.322,0.8612
68,chemical,264.462,264.804,0.9913
68,compounds,264.884,265.426,0.9929
68,to,265.486,265.546,0.9999
68,that,265.587,265.727,0.9512
68,"problem,",265.807,266.209,1.0
69,agents,266.83,267.171,0.9998
69,that,267.231,267.371,0.9999
69,pooled,267.451,267.871,0.8841
69,in,268.032,268.092,0.9957
69,low,268.232,268.412,0.9999
69,"ground,",268.492,268.912,0.9998
69,degraded,269.473,269.954,0.9998
69,respirator,270.054,270.594,0.9998
69,seals,270.674,271.075,0.9954
69,over,271.155,271.275,1.0
69,extended,271.355,271.735,0.9996
69,"exposure,",271.775,272.296,0.9999
69,and,272.596,272.676,0.9994
69,corrupted,272.756,273.117,0.9972
69,the,273.157,273.237,0.9722
69,soil,273.277,273.457,1.0
69,chemistry,273.537,273.958,0.9999
69,across,274.038,274.418,0.9983
69,entire,274.538,275.079,0.9955
69,operating,275.159,275.539,0.9999
69,sectors.,275.599,276.02,0.9997
70,Ground,276.46,276.821,0.9999
70,that,276.881,276.981,0.9999
70,should,277.021,277.182,0.9983
70,have,277.202,277.282,0.9799
70,been,277.322,277.442,0.9539
70,traversable,277.482,278.043,0.9628
70,became,278.103,278.444,0.94
70,toxic,278.564,279.045,0.9999
70,inside,279.205,279.826,0.9998
70,two,280.167,280.347,0.9998
70,weeks,280.427,280.768,0.9999
70,of,280.928,280.968,0.9993
70,sustained,281.048,281.489,0.882
70,fighting.,281.549,281.89,1.0
71,Soldiers,282.37,282.891,0.9998
71,who,282.951,283.091,0.8677
71,crossed,283.212,283.592,0.999
71,contaminated,283.632,284.293,0.9998
71,sections,284.373,284.854,0.9983
71,arrived,284.994,285.575,0.9998
71,at,285.675,285.735,0.9994
71,their,285.775,285.895,0.9867
71,objectives,285.935,286.536,0.9982
