order,tag,text,startTime,duration,endTime,anchorSource,tokenHash
94,098_thick_musky,"Something thick, musky, wrong in a way that is hard to describe.",293.27,5.46,298.73,whisper,1adfccf86794dc0d
95,099_sudden_stop,You catch it on your third run and stop walking.,298.73,3.44,302.17,whisper,c6ed40db5adb8fdf
96,100_korik_stops,Korik stops half a step after you.,302.17,2.53,304.7,whisper,be5d7288339ce051
97,101_shared_realization,He has it too.,304.7,1.73,306.43,whisper,4bc8f86024af4adc
98,102_frozen_scouts,The two of you stand without moving for a long count,306.43,3.11,309.54,whisper,dbd72d4bea8caa36
99,103_held_breath,long enough for your own breathing to feel very loud.,309.54,3.7,313.24,whisper,3a662ea32383511a
100,104_silent_retreat,You back out the way water runs in reverse.,313.24,3.38,316.62,whisper,19d8fb466b810d1c
101,105_careful_steps,"Slow, continuous, nothing sudden enough to announce you.",316.62,5.39,322.01,whisper,e5426dacb6f3803c
102,106_empty_night,You never see the cave lion that night.,322.01,3.24,325.25,whisper,fa55ad0a9c6ad4a7
103,107_frost_tracks,But you find its tracks in the frost the next morning,325.25,3.33,328.58,whisper,d9531356e278b4ac
104,108_spear_measure,two spear-lengths from where you stood.,328.58,2.22,330.8,whisper,a8e735a5c8884a77
105,109_giant_print,The print is wider than both your hands laid side by side.,330.8,3.44,334.24,whisper,e9484f7c3ae990c4
106,110_long_stare,You look at it for a long time.,334.24,1.95,336.19,whisper,efdeabdd46e80fd7
107,111_scout_returning_camp,You bring the information back.,336.19,2.25,338.44,whisper,ed35d3baa1b5f772
108,112_scout_reporting_mission,That is the job.,338.44,1.78,340.22,whisper,72b343fbe0624694
109,113_scout_hiding_shadows,Not to engage.,340.22,1.63,341.85,whisper,f05828d52aeb4b72
110,114_scout_restrained_grip,Not to prove anything.,341.85,1.75,343.6,whisper,42b5db9eb8a1f09e
111,115_scout_observing_turning,"See, register, return.",343.6,2.25,345.85,whisper,1eec86d3f764e62e
112,116_scout_missed_threat,A scout who sees too little endangers the band.,345.85,3.83,349.68,whisper,33769281392cb15e
113,117_scout_imagined_monster,A scout who imagines too much does the same.,349.68,2.59,352.27,whisper,f5ba80f53c942174
114,118_scout_delivering_truth,What the job requires is exact truth delivered without drama.,352.27,5.62,357.89,whisper,db19b80736cbae39
115,119_scout_inner_tremble,You are not yet calm about it.,357.89,1.57,359.46,whisper,5dc7b02c342eabfd
116,120_scout_steady_voice,Your voice holds when you report,359.46,2.73,362.19,whisper,dc7969e365b9e2a7
117,121_still_hands,but your hands do not.,362.19,1.84,364.03,whisper,85222a8982794cd6
118,122_daret_watching,Daret watches your hands when you speak.,364.03,2.8,366.83,whisper,0709dd6f8e81d9b9
119,123_catching_gaze,You see him doing it.,366.83,1.62,368.45,whisper,3172244bae7e790b
120,124_working_hands,You start working on the hands.,368.45,3.9,372.35,whisper,1cdf92d4e1f40464
121,125_night_circle,You are twenty and you have your first real position in the night circle.,372.35,6.55,378.9,whisper,ee2a35dc2c13ced4
122,126_eastern_post,The eastern post,378.9,0.57,379.47,whisper,ce2b47a2cd2b68ba
123,127_river_treeline,facing the tree line where the river bends out of sight.,379.47,4.27,383.74,whisper,c5af0ef624df61b4
124,128_back_to_fire,You sit with your back to the fire so your eyes can adjust fully to the dark beyond the camp’s edge.,383.74,5.65,389.39,whisper,59ee9dc1a3fc9a3e
125,129_warmth_and_cold,The fire’s warmth is on your back and the night’s cold is on your face.,389.39,4.73,394.12,whisper,6d2daad939d31a58
126,130_discomfort_point,The discomfort is the point.,394.12,2.2,396.32,whisper,b7da49587b55cad8
127,131_drifting_guard,It keeps you from drifting.,396.32,1.88,398.2,whisper,c70450732b9f3cfa
128,132_guarding_stretch,You guard your stretch,398.2,1.36,399.56,whisper,5e86171a9e2a8ba7
129,133_wake_man,wake the next man,399.56,1.16,400.72,whisper,e7595023a9d3f067
130,134_exhausted_sleep,sleep.,400.72,1.06,401.78,whisper,96428168e79ec6e8
131,135_three_hours,Three hours at most before you are back up.,401.78,2.89,404.67,whisper,0905751a00169c3e
132,136_nightly_rotation,This runs every night,404.67,1.98,406.65,whisper,9093adbb28fda143
133,137_harsh_weather,no matter the weather.,406.65,1.16,407.81,whisper,2f94eb269d2405b1
134,138_cracking_ice,On the coldest nights when the river ice cracks and carries those sounds through the valley,407.81,4.7,412.51,whisper,b2bda5ef960e7cea
135,139_restless_tribe,nobody sleeps deep and nobody sleeps long.,412.51,3.62,416.13,whisper,9775a029c197cde0
136,140_sudden_alertness,The body does not wait for the mind to decide if a sound is worth waking for.,416.13,4.97,421.1,whisper,ce1c7b9fa7c9607f
137,141_night_listening,Night is not quiet.,421.1,2.13,423.23,whisper,98d6618951369c79
138,142_noisy_void,It is full of noise,423.23,1.94,425.17,whisper,a7be45f5f3aee61c
139,143_meaningless_noises,almost all of it meaningless.,425.17,2.5,427.67,whisper,0a18ef02f2c17b45
140,144_howling_wind,Wind.,427.67,1.41,429.08,whisper,3655e11c27eb7a9f
141,145_scurrying_creature,Small animals.,429.08,1.85,430.93,whisper,073c672bc9d0a24f
142,146_fire_settling,The fire settling.,430.93,1.71,432.64,whisper,af57e200e42b01ca
143,147_frozen_branches,Branches pulling tight in the cold.,432.64,2.51,435.15,whisper,8eacca466230335d
144,148_breathing_clan,Sleeping people breathing.,435.15,2.07,437.22,whisper,16fd71a3f1bb4d10
145,149_month_rotation,You spend your second month in rotation learning to separate the sounds that matter from the enormous volume that do not.,437.22,7.92,445.14,whisper,2068b95bf4be8438
146,150_listening_intent,You are not listening for a sound.,445.14,1.785,446.925,whisper,f58929b59bb96dc4
147,151_scout_listening_void,You are listening for the absence of one.,446.925,4.105,451.03,whisper,e646230d2789d03b
148,152_frozen_brush_mice,When the brush mice stop moving through dry leaves,451.03,2.535,453.565,whisper,f803b5bed419c630
149,153_something_stopped_them,something stopped them.,453.565,2.295,455.86,whisper,569d9dbbb33d65d4
150,154_silent_night_birds,When the night birds cut off mid-call,455.86,1.97,457.83,whisper,7a4b242bb2c6b01b
151,155_predator_passing_under,something passed under them.,457.83,2.04,459.87,whisper,e2044954fc4567d8
152,156_scout_deep_realization,These gaps tell you more than any loud noise could.,459.87,3.5,463.37,whisper,b017e079fa80a369
153,157_scout_nervous_reflection,You get it wrong twice in your first season.,463.37,2.72,466.09,whisper,3ad650077a154b4e
154,158_scout_false_alert,The first time you raise an alert for a branch dropping from a snow-loaded tree.,466.09,4.79,470.88,whisper,16df813e233cc66d
155,159_camp_standing_alert,The whole camp stands up and it takes several minutes to settle.,470.88,3.61,474.49,whisper,e369b18551e1b329
156,160_camp_forgiveness,Nobody is angry with you.,474.49,2.25,476.74,whisper,a8357eb021aa0368
157,161_waste_chest,But the waste of it stays in your chest,476.74,2.56,479.3,whisper,8e81a229a3e6d189
158,162_false_alarm_burn,the specific burn of a false alarm,479.3,2.26,481.56,whisper,eaa5d9808cb2d16a
159,163_not_carrying_feeling,and you do not want to carry that feeling again.,481.56,2.77,484.33,whisper,9663bc0d8011974e
160,164_waiting_too_long,The second time you wait too long.,484.33,2.65,486.98,whisper,b3a61adf4ae53ed5
161,165_talking_out_trust,You hear the interruption and you talk yourself out of trusting it.,486.98,3.93,490.91,whisper,7711c6306dffe60d
162,166_dire_wolf_perimeter,The threat is a lone dire wolf testing the perimeter,490.91,3.86,494.77,whisper,2e9ce2d01640a06c
163,167_smell_of_butchery,drawn by the smell of the previous day’s butchering.,494.77,3.2,497.97,whisper,dca49fb651c9e993
164,168_daret_thrown_stone,Daret spots it from his post and turns it back with a thrown stone before it gets close.,497.97,5.57,503.54,whisper,90fdcd615a799859
165,169_daret_meets_scout,He finds you at your post afterward.,503.54,2.64,506.18,whisper,3acc757507864212
166,170_daret_speaks,He tells you one thing,506.18,1.79,507.97,whisper,f9810efad46380d6
167,171_scout_carrying_load,and you never stop carrying it.,507.97,2.48,510.45,whisper,f125c5fc9fef554b
168,172_body_instinct_grip,The body knows before the mind agrees.,510.45,3.01,513.46,whisper,f9ef6a51234539fe
169,173_broken_track_pattern,When something in you says a pattern has broken,513.46,3.3,516.76,whisper,d410e712a1c6f406
170,174_enough_standing_tall,that is enough.,516.76,1.61,518.37,whisper,e9c31f9a55ac36b8
171,175_stepping_into_void,Stop waiting for your mind to finish arguing.,518.37,6.02,524.39,whisper,764184ef7ac9ae86
172,176_twenty_six_scout,You are twenty-six.,524.39,3.7,528.09,whisper,86e5f360361b68da
173,177_leading_in_darkness,Fear no longer leads when you move in darkness.,528.09,3.39,531.48,whisper,2bb256ed02883bca
174,178_fear_running_alongside,It runs alongside you now,531.48,1.89,533.37,whisper,da1bcbd5608ede60
175,179_not_in_charge,present but not in charge.,533.37,2.29,535.66,whisper,11994d5330e738fa
176,180_late_autumn_transformation,The night that changes you comes in late autumn.,535.66,3.25,538.91,whisper,bd8625128e5b45e1
177,181_aurochs_drive,Your group drives a small aurochs herd toward a valley narrowing,538.91,3.91,542.82,whisper,2edc102f2fca398c
178,182_breaking_aurochs,and three animals break sideways into the trees instead of funneling through.,542.82,4.79,547.61,whisper,e03b2a9f2b533343
179,183_chasing_hunters,Two hunters go after them.,547.61,2.3,549.91,whisper,17ef95438b1dc444
180,184_mc_running,You are one.,549.91,1.07,550.98,whisper,be84562f8285f3ed
181,185_yaro_running,The other is Yaro,550.98,3.2,554.18,whisper,c9c1bfb74c94c822
182,186_yaro_age,thirty years old,554.18,1.38,555.56,whisper,4508bb064528b559
183,187_composed_yaro,the most composed man on any hunt you have been on.,555.56,3.48,559.04,whisper,ad5824a556da253d
184,188_fading_light,The light is going fast.,559.04,2.41,561.45,whisper,a4f5a39f87bcefce
185,189_heavy_timber,You push through the tree line into heavier timber and the animals are already gone ahead of you into the dark.,561.45,5.6,567.05,whisper,c542feb8d4c5ca2d
186,190_yaro_signal,Yaro signals to stop.,567.05,2.1,569.15,whisper,75cc6290b160e373
187,191_both_still,You both go still.,569.15,1.325,570.475,whisper,4063385e4f573946
188,192_scout_listening,You listen.,570.475,0.595,571.07,whisper,2d4d9d1af696f65e
189,193_low_ground,What you hear instead of aurochs is something low and close to the ground.,571.07,6.2,577.27,whisper,1d82ca34fd18f4b2
190,194_breathing_tension,A breathing that belongs to neither of you.,577.27,2.89,580.16,whisper,793f63e3a9c6cdac
191,195_unseen_woods,You cannot locate it in the trees.,580.16,2.06,582.22,whisper,efb4383bf4fb44bd
192,196_main_frozen,You do not move.,582.22,1.39,583.61,whisper,60097ce2c23a0d09
193,197_yaro_still,Yaro does not move.,583.61,2.25,585.86,whisper,25aa92aacd16b8ad
194,198_stopped_breathing,The breathing stops.,585.86,1.94,587.8,whisper,80a9f8db793ae915
195,199_three_seconds,Three seconds.,587.8,1.74,589.54,whisper,3c7b07e6a25b3f89
196,200_yaro_shifts,Then Yaro shifts his weight back,589.54,2.605,592.145,whisper,9780375e045f6181
197,201_stealthy_footstep,one foot at a time,592.145,1.205,593.35,whisper,a4e285aaeb0f0f0d
198,202_mirroring_scout,and you mirror him exactly.,593.35,2.48,595.83,whisper,758f1e8a06306701
199,203_backward_retreat,You walk backward out of the forest with your spear forward and your free hand trailing behind you to feel for the tree line.,595.83,7.03,602.86,whisper,71316ebe69d047f0
200,204_meadow_run,You reach the open meadow and you both run,602.86,3.32,606.18,whisper,366debf5e43aeb35
201,205_instinctual_flight,not deciding to run,606.18,1.5,607.68,whisper,2656e34a5d95c3d3
202,206_scouts_sprinting,just running.,607.68,1.09,608.77,whisper,8bb6904e689d10bb
203,207_reporting_to_leader,You return to the main group and report.,608.77,2.53,611.3,whisper,2dcbf0ff6747582c
204,208_leader_decision,The hunt leader listens and sends nobody back.,611.3,2.87,614.17,whisper,c4b834e75213e1a3
205,209_empty_meadow,The aurochs are gone.,614.17,1.77,615.94,whisper,d16b3acb4ee7b648
206,210_ominous_timber,Whatever shared that timber with you was not worth finding.,615.94,3.37,619.31,whisper,d2f5c4debaa26177
207,211_hearth_reflection,That night by the fire you think about the three seconds after the breathing stopped.,619.31,4.27,623.58,whisper,c9a4f9d081b6c42a
208,212_watching_eyes,Something in the dark assessed you and made a decision.,623.58,3.19,626.77,whisper,cdc3a13993b4444a
209,213_pensive_stare,You do not know what it decided or why.,626.77,2.24,629.01,whisper,5158d90fda9467c1
210,214_solitary_fire,You only know you are at the fire because whatever it was let you leave.,629.01,5.49,634.5,whisper,1d12317914a04c8a
211,215_spear_grip,That is a different kind of knowledge than anything you were taught.,634.5,3.88,638.38,whisper,4a5f31b5bc163223
212,216_chest_revelation,It does not sit in the same place.,638.38,2.85,641.23,whisper,61d4d8f65e93700c
213,217_still_silence,You get quieter after that.,641.23,1.79,643.02,whisper,3d0dff387a35199a
214,218_upright_posture,"Not afraid, but rearranged inside.",643.02,3.2,646.22,whisper,4150a1ef735c252f
215,219_starry_void,You understand that surviving is not only about what you do.,646.22,4.4,650.62,whisper,32a86d709f427ff8
216,220_lethal_gap,There is a space between your action and something else’s action,650.62,3.83,654.45,whisper,495c0d94cae99907
217,221_skill_removes,and in that space lives an element that no amount of skill removes entirely.,654.45,4.88,659.33,whisper,a2c733c8326b5b9b
218,222_long_silence,You do not say this to anyone for a long time.,659.33,3.22,662.55,whisper,eb4bd52d7c34b6b1
219,223_carrying_weight,You carry it.,662.55,1.78,664.33,whisper,d19ac35e160aaff8
220,224_thirty_three,You are thirty-three.,664.33,3.14,667.47,whisper,d152961054071b25
221,225_night_scouts,You lead the night scouts now.,667.47,3.71,671.18,whisper,e0e3097764bb8bfd
222,226_four_scouts,Four of them besides yourself,671.18,2.125,673.305,whisper,d09c620c23acab40
223,227_scout_ages,ranging from seventeen to twenty-four.,673.305,2.245,675.55,whisper,6515b5e94ed9b509
224,228_informal_bond,They are not yours in any formal sense.,675.55,3.03,678.58,whisper,db30622ce7187d9f
225,229_no_formal_sense,There is no formal sense here.,678.58,2.41,680.99,whisper,543b852b1bdcf0c3
226,230_slowing_pace,But when you slow,680.99,1.065,682.055,whisper,543b31815191b89f
227,231_slowing_pace,they slow.,682.055,0.685,682.74,whisper,c32e4d728c266ff5
228,232_sudden_halt,"When you stop, they stop.",682.74,2.55,685.29,whisper,1acf1b76aba249fb
229,233_firelight_speech,When you speak at the fire before a hard night,685.29,4.1,689.39,whisper,d94364acf32a0147
230,234_focused_attention,their attention is different from what they give anyone else.,689.39,3.5,692.89,whisper,8674fd5570508357
231,235_unasked_burden,You did not ask for this.,692.89,2.06,694.95,whisper,176024992f28a681
232,236_uncertain_start,You are not sure when it started.,694.95,2.1,697.05,whisper,e3c7c2cf7297a7a6
233,237_heavy_weight,The weight of it is not the same as the fear from your younger years.,697.05,4.24,701.29,whisper,989d9f2237bebb10
234,238_youthful_fear,That fear was about your own body.,701.29,2.22,703.51,whisper,cfc31cf6accd5cc9
235,239_internal_burden,This sits differently.,703.51,1.85,705.36,whisper,0f9d42745bf2d62a
236,240_tribal_survival,It is about theirs.,705.36,1.83,707.19,whisper,416c80a172ac0a7f
237,241_fen_young_scout,Your youngest scout is Fen.,707.19,2.92,710.11,whisper,a71131d493a26041
238,242_fen_excited_run,He has the instincts but his feet carry his excitement on runs.,710.11,4.34,714.45,whisper,4d4e4bf092b5ca61
239,243_fen_too_quick,"Too quick, consistently.",714.45,1.9,716.35,whisper,ac2ff9bdc875d0a8
240,244_elder_watching_fen,You watch him for two full seasons and say almost nothing.,716.35,3.56,719.91,whisper,edf03b3ac37622ca
241,245_seasonal_contrast,You let him see the contrast.,719.91,2.02,721.93,whisper,be5fc94386295fa0
242,246_elder_speaks_plainly,Then one evening before a run you tell him plainly,721.93,3.03,724.96,whisper,54f32daca810437b
243,247_danger_lesson,slow is not about the danger being less.,724.96,2.77,727.73,whisper,a3d8c5e6f15b8251
244,248_stealthy_movement,Slow is about being harder to detect.,727.73,3.29,731.02,whisper,6b52074e9e3cc03b
245,249_fast_after_decision,Fast is for after the decision has already been made.,731.02,3.64,734.66,whisper,6af61aaf42e03ae0
246,250_before_the_moment,Before that moment,734.66,1.25,735.91,whisper,04bfa8f841a57f82
247,251_main_focused_observation,slow is the sharpest thing you have.,735.91,2.17,738.08,whisper,89a263d5d5372182
248,252_fen_slowing_run,On the next run he slows.,738.08,1.94,740.02,whisper,e4a6f63cb3a9a2cb
249,253_fen_measured_movement,Not completely.,740.02,1.42,741.44,whisper,0de1ea6742072f79
250,254_main_observing_fen,But you can see it.,741.44,1.69,743.13,whisper,0394be0d0a221e70
251,255_daret_hand_on_shoulder,You remember Daret’s hand on your shoulder over the dropped torch.,743.13,4.25,747.38,whisper,cb7f7ff3f260fe0f
252,256_korik_stopping_in_dark,You remember Korik stopping half a step after you in the dark,747.38,3.72,751.1,whisper,f9dbffc9f841b32c
253,257_wordless_confirmation_scent,that wordless confirmation that your nose had caught something real.,751.1,4.04,755.14,whisper,cd7e9c2ebdd3d6a1
254,258_main_contemplative_ridge,The things that kept you alive were not only your own choices.,755.14,4.39,759.53,whisper,0dba7b57bba789a7
255,259_mentors_around_hearth,They were built into you by people who made room for you to learn without killing your willingness to try.,759.53,6.33,765.86,whisper,0a3a9a9172c6ed9b
256,260_main_teaching_fen,You try to build that same room for Fen.,765.86,2.86,768.72,whisper,379821a7d2b69f5f
257,261_weary_leader,You do not always manage it.,768.72,1.88,770.6,whisper,12532310503c8dea
258,262_stern_warning,Some nights the danger is too close and you have to be hard with them in ways you regret by the time you are sitting at the fire watching their faces.,770.6,8.62,779.22,whisper,1c128f9cfd35a1b7
259,263_temporary_dawn,Every dawn is temporary.,779.22,1.73,780.95,whisper,2b5994b5dab25f6a
260,264_feeding_fire,The dark comes back the same way your mother fed the fire,780.95,4.63,785.58,whisper,e721ff2a28862b12
261,265_unending_dark,"without announcement, without end.",785.58,4.75,790.33,whisper,3bb81b6e82528236
262,266_forty_one_burden,You are forty-one.,790.33,3.86,794.19,whisper,c3e3b19968c6e784
